build_number,execution_time,name,status,duration_ms,error,screenshot,longrepr
0,2025-11-21 09:29:39,tests/test_negative_ui.py::test_locked_out_user,passed,812,,,
0,2025-11-21 09:31:59,tests/test_1login_ui.py::test_valid_login,failed,2838,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load""",,
0,2025-11-21 09:31:59,tests/test_cart_ui.py::test_add_item_to_cart,passed,1017,,,
0,2025-11-21 09:31:59,tests/test_logout_ui.py::test_logout_after_login,failed,519,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load""",,
0,2025-11-21 09:31:59,tests/test_negative_ui.py::test_invalid_credentials,passed,848,,,
0,2025-11-21 09:31:59,tests/test_negative_ui.py::test_empty_fields,failed,517,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load""",,
0,2025-11-21 09:31:59,tests/test_negative_ui.py::test_locked_out_user,failed,522,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load""",,
0,2025-11-21 09:33:10,tests/test_1login_ui.py::test_valid_login,failed,2838,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load""",,
0,2025-11-21 09:33:10,tests/test_cart_ui.py::test_add_item_to_cart,passed,1017,,,
0,2025-11-21 09:33:10,tests/test_logout_ui.py::test_logout_after_login,failed,519,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load""",,
0,2025-11-21 09:33:10,tests/test_negative_ui.py::test_invalid_credentials,passed,848,,,
0,2025-11-21 09:33:10,tests/test_negative_ui.py::test_empty_fields,failed,517,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load""",,
0,2025-11-21 09:33:10,tests/test_negative_ui.py::test_locked_out_user,failed,522,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load""",,
0,2025-11-21 10:22:15,tests/test_1login_ui.py::test_valid_login[chromium],failed,49,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load""",,
0,2025-11-21 10:22:15,tests/test_cart_ui.py::test_valid_login[chromium],failed,42,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load""",,
0,2025-11-21 10:22:15,tests/test_logout_ui.py::test_logout_after_login,failed,0,"playwright._impl._errors.Error: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",,
0,2025-11-21 10:22:15,tests/test_negative_ui.py::test_invalid_credentials,failed,0,"playwright._impl._errors.Error: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",,
0,2025-11-21 10:22:15,tests/test_negative_ui.py::test_empty_fields,failed,0,"playwright._impl._errors.Error: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",,
0,2025-11-21 10:22:15,tests/test_negative_ui.py::test_locked_out_user,failed,0,"playwright._impl._errors.Error: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",,
0,2025-11-21 10:22:33,tests/test_1login_ui.py::test_valid_login[chromium],passed,517,,,
0,2025-11-21 10:22:33,tests/test_cart_ui.py::test_valid_login[chromium],passed,415,,,
0,2025-11-21 10:22:33,tests/test_logout_ui.py::test_logout_after_login,failed,0,"playwright._impl._errors.Error: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",,
0,2025-11-21 10:22:33,tests/test_negative_ui.py::test_invalid_credentials,failed,0,"playwright._impl._errors.Error: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",,
0,2025-11-21 10:22:33,tests/test_negative_ui.py::test_empty_fields,failed,0,"playwright._impl._errors.Error: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",,
0,2025-11-21 10:22:33,tests/test_negative_ui.py::test_locked_out_user,failed,0,"playwright._impl._errors.Error: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",,
0,2025-11-21 10:26:49,tests/test_1login_ui.py::test_valid_login[chromium],failed,50,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load""",,
0,2025-11-21 10:26:49,tests/test_cart_ui.py::test_valid_login[chromium],passed,414,,,
0,2025-11-21 10:26:49,tests/test_logout_ui.py::test_logout_after_login[chromium],passed,1312,,,
0,2025-11-21 10:26:49,tests/test_negative_ui.py::test_invalid_credentials,failed,0,"playwright._impl._errors.Error: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",,
0,2025-11-21 10:26:49,tests/test_negative_ui.py::test_empty_fields,failed,0,"playwright._impl._errors.Error: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",,
0,2025-11-21 10:26:49,tests/test_negative_ui.py::test_locked_out_user,failed,0,"playwright._impl._errors.Error: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",,
0,2025-11-21 10:31:48,tests/test_1login_ui.py::test_valid_login[chromium],passed,384,,,
0,2025-11-21 10:31:48,tests/test_cart_ui.py::test_valid_login[chromium],failed,40,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load""",,
